transaction_id,order_id,amount,currency,payment_method,payment_status,customer_id,timestamp
TXN1001,order_770487,19900,INR,upi,captured,cust_2679,2026-07-15 15:45:00
TXN1002,order_131244,19900,INR,card,captured,cust_4257,2026-08-17 07:22:00
TXN1003,order_391704,9900,INR,card,captured,cust_4527,2026-07-18 10:39:00
TXN1004,order_201414,199900,INR,netbanking,captured,cust_8527,2026-07-24 15:09:00
TXN1005,order_407419,199900,INR,emi,captured,cust_4733,2026-08-19 01:56:00
TXN1006,order_205907,499900,INR,netbanking,captured,cust_7065,2026-08-02 03:07:00
TXN1007,order_765822,29900,INR,emi,captured,cust_5422,2026-07-16 16:50:00
TXN1008,order_340174,9900,INR,netbanking,captured,cust_6155,2026-08-06 15:56:00
TXN1009,order_774079,999900,INR,card,captured,cust_9830,2026-08-15 19:45:00
TXN1010,order_549245,499900,INR,netbanking,captured,cust_1771,2026-08-17 19:28:00
TXN1011,order_166613,499900,INR,wallet,captured,cust_1188,2026-07-24 09:27:00
TXN1012,order_407757,499900,INR,card,captured,cust_5315,2026-08-02 23:14:00
TXN1013,order_632323,49900,INR,card,captured,cust_9689,2026-08-08 18:26:00
TXN1014,order_120422,19900,INR,netbanking,captured,cust_2290,2026-07-06 14:45:00
TXN1015,order_897549,29900,INR,card,captured,cust_9645,2026-07-20 08:25:00
TXN1016,order_891952,49900,INR,netbanking,captured,cust_9479,2026-08-06 02:19:00
TXN1017,order_167136,199900,INR,upi,captured,cust_1117,2026-07-25 06:46:00
TXN1018,order_161733,49900,INR,upi,captured,cust_9423,2026-07-05 22:05:00
TXN1019,order_238739,999900,INR,card,captured,cust_2545,2026-07-12 08:09:00
TXN1020,order_544154,499900,INR,wallet,captured,cust_2612,2026-07-07 00:57:00
TXN1021,order_455784,19900,INR,card,captured,cust_7912,2026-08-19 17:26:00
TXN1022,order_179046,999900,INR,emi,failed,cust_1241,2026-08-25 22:19:00
TXN1023,order_197793,49900,INR,card,captured,cust_7570,2026-08-05 08:30:00
TXN1024,order_509386,99900,INR,wallet,captured,cust_8973,2026-08-13 10:16:00
TXN1025,order_161324,9900,INR,netbanking,captured,cust_9701,2026-08-28 22:23:00
TXN1026,order_171849,19900,INR,card,captured,cust_1651,2026-08-06 20:04:00
TXN1027,order_712024,199900,INR,netbanking,captured,cust_5351,2026-08-18 02:15:00
TXN1028,order_431535,19900,INR,upi,failed,cust_2200,2026-08-02 04:24:00
TXN1029,order_663750,49900,INR,emi,captured,cust_2127,2026-08-15 19:01:00
TXN1030,order_559469,99900,INR,emi,captured,cust_5905,2026-07-11 03:27:00
TXN1031,order_212235,29900,INR,netbanking,captured,cust_4335,2026-08-13 04:47:00
TXN1032,order_363319,9900,INR,upi,captured,cust_1058,2026-07-22 10:07:00
TXN1033,order_374680,29900,INR,wallet,captured,cust_2832,2026-07-27 01:33:00
TXN1034,order_672092,9900,INR,netbanking,captured,cust_1685,2026-07-25 06:51:00
TXN1035,order_361650,19900,INR,netbanking,captured,cust_3532,2026-07-13 06:04:00
TXN1036,order_532322,9900,INR,card,captured,cust_5065,2026-07-15 13:10:00
TXN1037,order_140605,999900,INR,card,captured,cust_4728,2026-08-19 09:38:00
TXN1038,order_517821,199900,INR,netbanking,captured,cust_9346,2026-07-07 21:11:00
TXN1039,order_287241,99900,INR,upi,captured,cust_6139,2026-08-25 04:33:00
TXN1040,order_704596,49900,INR,netbanking,captured,cust_9821,2026-08-29 01:33:00
TXN1041,order_796503,199900,INR,emi,captured,cust_5920,2026-08-11 02:06:00
TXN1042,order_521947,99900,INR,emi,captured,cust_7211,2026-08-23 17:34:00
TXN1043,order_415568,499900,INR,emi,captured,cust_8043,2026-07-09 23:41:00
TXN1044,order_808446,49900,INR,emi,captured,cust_5649,2026-08-01 00:50:00
TXN1045,order_805477,99900,INR,card,captured,cust_5011,2026-07-11 17:51:00
TXN1046,order_534572,49900,INR,wallet,captured,cust_1090,2026-07-31 11:45:00
TXN1047,order_284430,999900,INR,upi,captured,cust_8478,2026-07-27 16:02:00
TXN1048,order_800005,199900,INR,wallet,captured,cust_9976,2026-07-23 00:03:00
