transaction_id,ledger_status,credited_amount,credited_date,duplicate_flag,notes
TXN1001,reconciled,19900,2026-07-16,no,
TXN1002,reconciled,19900,2026-08-19,no,
TXN1003,reconciled,9900,2026-07-20,no,
TXN1004,reconciled,199900,2026-07-26,no,
TXN1005,reconciled,199900,2026-08-21,no,
TXN1006,reconciled,499900,2026-08-04,no,
TXN1007,reconciled,29900,2026-07-17,no,
TXN1008,reconciled,9900,2026-08-07,no,
TXN1009,pending,,,no,
TXN1010,reconciled,499900,2026-08-19,no,
TXN1011,reconciled,499900,2026-07-25,no,
TXN1013,reconciled,49900,2026-08-10,yes,possible_duplicate_entry
TXN1013,reconciled,49900,2026-08-10,yes,possible_duplicate_entry
TXN1014,reconciled,19900,2026-07-07,no,
TXN1015,reconciled,29900,2026-07-22,no,
TXN1016,reconciled,49900,2026-08-08,no,
TXN1017,pending,,,no,
TXN1018,reconciled,49900,2026-07-07,no,
TXN1019,reconciled,999900,2026-07-13,no,
TXN1020,pending,,,no,
TXN1021,reconciled,19900,2026-08-20,no,
TXN1023,reconciled,49900,2026-08-06,no,
TXN1024,reconciled,99900,2026-08-14,yes,possible_duplicate_entry
TXN1024,reconciled,99900,2026-08-14,yes,possible_duplicate_entry
TXN1025,reconciled,9900,2026-08-30,no,
TXN1026,pending,,,no,
TXN1027,reconciled,199900,2026-08-20,no,
TXN1029,reconciled,49900,2026-08-16,no,
TXN1030,reconciled,99900,2026-07-12,no,
TXN1031,pending,,,no,
TXN1032,reconciled,9900,2026-07-24,no,
TXN1033,pending,,,no,
TXN1034,reconciled,9900,2026-07-27,no,
TXN1036,reconciled,9900,2026-07-17,yes,possible_duplicate_entry
TXN1036,reconciled,9900,2026-07-17,yes,possible_duplicate_entry
TXN1037,reconciled,999900,2026-08-20,no,
TXN1038,reconciled,199900,2026-07-10,no,
TXN1039,reconciled,99900,2026-08-27,no,
TXN1040,reconciled,49900,2026-08-30,no,
TXN1041,reconciled,199900,2026-08-13,no,
TXN1042,pending,,,no,
TXN1043,reconciled,499900,2026-07-12,no,
TXN1044,pending,,,no,
TXN1045,reconciled,99900,2026-07-14,no,
TXN1046,reconciled,49900,2026-08-01,no,
TXN1047,pending,,,no,
TXN1048,reconciled,199900,2026-07-25,no,
TXN1049,pending,,,no,
TXN1050,reconciled,999900,2026-07-18,no,
TXN1051,reconciled,29900,2026-08-29,no,
TXN1052,reconciled,9900,2026-08-09,yes,possible_duplicate_entry
TXN1052,reconciled,9900,2026-08-09,yes,possible_duplicate_entry
TXN1053,pending,,,no,
TXN1054,reconciled,9900,2026-07-26,no,
TXN1055,reconciled,99900,2026-08-13,no,
TXN1056,reconciled,19900,2026-08-31,no,
TXN1057,reconciled,9900,2026-08-22,no,
TXN1058,pending,,,no,
TXN1059,reconciled,9900,2026-07-27,yes,possible_duplicate_entry
TXN1059,reconciled,9900,2026-07-27,yes,possible_duplicate_entry
TXN1060,pending,,,no,
TXN1061,reconciled,199900,2026-08-01,no,
TXN1062,reconciled,999900,2026-08-07,no,
TXN1063,reconciled,99900,2026-07-10,yes,possible_duplicate_entry
TXN1063,reconciled,99900,2026-07-10,yes,possible_duplicate_entry
TXN1064,pending,199900,,no,awaiting_amount_confirmation
TXN1065,reconciled,49900,2026-08-02,no,
TXN1066,reconciled,499900,2026-08-14,no,
TXN1067,pending,,,no,
TXN1068,reconciled,29900,2026-08-20,no,
TXN1069,pending,,,no,
TXN1071,pending,,,no,
TXN1072,reconciled,9900,2026-08-23,no,
TXN1073,reconciled,999900,2026-08-13,no,
TXN1074,reconciled,29900,2026-08-22,no,
TXN1075,pending,,,no,
TXN1076,reconciled,49900,2026-07-06,no,
TXN1077,reconciled,99900,2026-08-26,no,
TXN1078,reconciled,9900,2026-07-17,no,
TXN1079,reconciled,99900,2026-09-01,no,
TXN1080,reconciled,999900,2026-08-03,no,
TXN1081,reconciled,99900,2026-07-12,no,
TXN1082,reconciled,9900,2026-08-04,no,
TXN1084,reconciled,99900,2026-09-02,no,
TXN1085,reconciled,29900,2026-07-05,no,
TXN1086,reconciled,999900,2026-08-23,yes,possible_duplicate_entry
TXN1086,reconciled,999900,2026-08-23,yes,possible_duplicate_entry
TXN1087,pending,,,no,
TXN1088,reconciled,999900,2026-08-05,no,
TXN1089,reconciled,49900,2026-08-31,no,
TXN1090,reconciled,199900,2026-07-08,no,
TXN1091,pending,,,no,
TXN1092,pending,499900,,no,awaiting_amount_confirmation
TXN1094,reconciled,199900,2026-08-24,no,
TXN1095,reconciled,49900,2026-07-06,no,
TXN1096,reconciled,29900,2026-08-05,no,
TXN1097,reconciled,999900,2026-08-18,no,
TXN1099,pending,,,no,
TXN1100,pending,,,no,
TXN1101,reconciled,99900,2026-08-16,no,
TXN1102,reconciled,499900,2026-08-10,no,
TXN1103,reconciled,99900,2026-08-09,no,
TXN1104,pending,,,no,
TXN1107,pending,,,no,
TXN1108,reconciled,199900,2026-08-07,no,
TXN1109,pending,29900,,no,awaiting_amount_confirmation
TXN1110,reconciled,9900,2026-07-09,no,
TXN1111,reconciled,49900,2026-08-14,no,
