transaction_id,utr,bank_status,amount_settled,fees,tax,settlement_date,remarks
TXN1001,UTR7831113321,processed,19900,0,0,2026-07-16,
TXN1002,UTR6241752544,processed,19900,0,0,2026-08-19,
TXN1003,UTR1438989805,processed,9900,0,0,2026-07-20,
TXN1004,UTR2625792787,processed,199900,0,0,2026-07-25,
TXN1005,UTR5231494220,processed,199900,0,0,2026-08-21,
TXN1006,UTR3783290795,processed,499900,0,0,2026-08-04,
TXN1007,UTR8235363119,processed,29900,0,0,2026-07-17,
TXN1008,UTR8110054933,processed,9900,0,0,2026-08-07,
TXN1009,,failed,0,0,0,,network_timeout
TXN1010,UTR8217611860,processed,499900,0,0,2026-08-18,
TXN1011,UTR8047877267,processed,499900,0,0,2026-07-25,
TXN1012,UTR7980611182,processed,499900,0,0,2026-08-03,
TXN1013,UTR7867414708,processed,49900,0,0,2026-08-09,
TXN1014,UTR8438486479,processed,19900,0,0,2026-07-07,
TXN1015,UTR5141907136,processed,29900,0,0,2026-07-22,
TXN1016,UTR1519709079,processed,49900,0,0,2026-08-08,
TXN1017,,pending,,,,,high_volume_queue
TXN1018,UTR3084839399,processed,49900,0,0,2026-07-06,
TXN1019,UTR8125276666,processed,999900,0,0,2026-07-13,
TXN1020,,failed,0,0,0,,invalid_account
TXN1021,UTR6491309593,processed,19900,0,0,2026-08-20,
TXN1023,UTR6002078344,processed,49900,0,0,2026-08-06,
TXN1024,UTR6110572428,processed,99900,0,0,2026-08-14,
TXN1025,UTR3181106786,processed,9900,0,0,2026-08-29,
TXN1026,,pending,,,,,processing_delay
TXN1027,UTR8067372072,processed,199900,0,0,2026-08-20,
TXN1029,UTR6882074066,processed,49900,0,0,2026-08-16,
TXN1030,UTR5871743247,processed,99900,0,0,2026-07-12,
TXN1031,,failed,0,0,0,,network_timeout
TXN1032,UTR4311931853,processed,9900,0,0,2026-07-24,
TXN1033,,pending,,,,,high_volume_queue
TXN1034,UTR2536778950,processed,9900,0,0,2026-07-27,
TXN1035,UTR4713453204,processed,19900,0,0,2026-07-14,
TXN1036,UTR4011966884,processed,9900,0,0,2026-07-17,
TXN1037,UTR9691572571,processed,999900,0,0,2026-08-20,
TXN1038,UTR1118543408,processed,199900,0,0,2026-07-09,
TXN1039,UTR3196545325,processed,99900,0,0,2026-08-27,
TXN1040,UTR6859286614,processed,49900,0,0,2026-08-30,
TXN1041,UTR8159250505,processed,199900,0,0,2026-08-13,
TXN1042,,pending,,,,,high_volume_queue
TXN1043,UTR7292076361,processed,499900,0,0,2026-07-11,
TXN1044,,pending,,,,,bank_holiday
TXN1045,UTR4300636585,processed,99900,0,0,2026-07-13,
TXN1046,UTR8638257497,processed,49900,0,0,2026-08-01,
TXN1048,UTR4853479481,processed,199900,0,0,2026-07-25,
TXN1049,,pending,,,,,high_volume_queue
TXN1050,UTR1594312071,processed,999900,0,0,2026-07-18,
TXN1051,UTR1267429212,processed,29900,0,0,2026-08-29,
TXN1052,UTR6242173772,processed,9900,0,0,2026-08-09,
TXN1053,,pending,,,,,processing_delay
TXN1054,UTR9018065507,processed,9900,0,0,2026-07-26,
TXN1055,UTR8868054898,processed,99900,0,0,2026-08-13,
TXN1056,UTR3792347639,processed,19900,0,0,2026-08-31,
TXN1057,UTR3875303857,processed,9900,0,0,2026-08-21,
TXN1058,,pending,,,,,processing_delay
TXN1059,UTR9916336966,processed,9900,0,0,2026-07-27,
TXN1060,,failed,0,0,0,,invalid_account
TXN1061,UTR5748253283,processed,199900,0,0,2026-08-01,
TXN1062,UTR7291584955,processed,999900,0,0,2026-08-06,
TXN1063,UTR6922713963,processed,99900,0,0,2026-07-10,
TXN1064,UTR9633533290,processed,191032,8868,0,2026-08-02,fee_deduction_variance
TXN1065,UTR1074059253,processed,49900,0,0,2026-08-02,
TXN1066,UTR6715705115,processed,499900,0,0,2026-08-14,
TXN1067,,failed,0,0,0,,network_timeout
TXN1068,UTR5211261115,processed,29900,0,0,2026-08-20,
TXN1069,,failed,0,0,0,,declined_by_bank
TXN1070,UTR7351029162,processed,99900,0,0,2026-07-24,
TXN1072,UTR3656086594,processed,9900,0,0,2026-08-23,
TXN1073,UTR6201313620,processed,999900,0,0,2026-08-13,
TXN1074,UTR7313226025,processed,29900,0,0,2026-08-22,
TXN1075,,failed,0,0,0,,invalid_account
TXN1076,UTR8699281063,processed,49900,0,0,2026-07-05,
TXN1077,UTR7415801613,processed,99900,0,0,2026-08-26,
TXN1078,UTR5083595988,processed,9900,0,0,2026-07-16,
TXN1079,UTR7808938880,processed,99900,0,0,2026-08-31,
TXN1080,UTR6711463258,processed,999900,0,0,2026-08-02,
TXN1081,UTR2388450337,processed,99900,0,0,2026-07-12,
TXN1082,UTR7981077394,processed,9900,0,0,2026-08-04,
TXN1083,UTR4433026356,processed,99900,0,0,2026-08-24,
TXN1084,UTR5067594934,processed,99900,0,0,2026-09-02,
TXN1085,UTR8880079328,processed,29900,0,0,2026-07-05,
TXN1086,UTR4710967433,processed,999900,0,0,2026-08-23,
TXN1088,UTR3995732958,processed,999900,0,0,2026-08-05,
TXN1089,UTR5948254671,processed,49900,0,0,2026-08-31,
TXN1090,UTR4102872611,processed,199900,0,0,2026-07-08,
TXN1091,,pending,,,,,processing_delay
TXN1092,UTR5683143581,processed,461955,37945,0,2026-07-23,fee_deduction_variance
TXN1093,UTR4419410162,processed,19900,0,0,2026-08-23,
TXN1094,UTR1751917162,processed,199900,0,0,2026-08-23,
TXN1095,UTR8750840032,processed,49900,0,0,2026-07-06,
TXN1096,UTR2297602688,processed,29900,0,0,2026-08-05,
TXN1097,UTR6994940029,processed,999900,0,0,2026-08-18,
TXN1098,UTR2513206988,processed,9900,0,0,2026-07-16,
TXN1099,,pending,,,,,processing_delay
TXN1100,,failed,0,0,0,,declined_by_bank
TXN1101,UTR1323408297,processed,99900,0,0,2026-08-16,
TXN1102,UTR7248258423,processed,499900,0,0,2026-08-09,
TXN1103,UTR9697414638,processed,99900,0,0,2026-08-09,
TXN1104,,failed,0,0,0,,declined_by_bank
TXN1105,UTR7243352390,processed,99900,0,0,2026-08-26,
TXN1106,UTR7939173425,processed,499900,0,0,2026-07-17,
TXN1108,UTR3846570058,processed,119940,0,0,2026-08-07,partial_settlement_1
TXN1108,UTR1091729577,processed,79960,0,0,2026-08-07,partial_settlement_2
TXN1109,UTR6295689007,processed,28332,1568,0,2026-08-19,fee_deduction_variance
TXN1110,UTR1110724913,processed,9900,0,0,2026-07-09,
TXN1111,UTR3259520140,processed,49900,0,0,2026-08-13,
TXN1112,,pending,,,,,high_volume_queue
TXN1114,UTR1282103057,processed,19900,0,0,2026-07-18,
TXN1115,UTR4717261214,processed,199900,0,0,2026-07-25,
TXN1116,UTR7127904756,processed,49900,0,0,2026-08-12,
TXN1117,UTR2854895521,processed,199900,0,0,2026-07-20,
TXN1118,UTR7059376953,processed,199900,0,0,2026-07-28,
TXN1119,UTR3070987704,processed,499900,0,0,2026-08-14,
TXN1120,UTR8273403366,processed,199900,0,0,2026-07-15,
TXN1121,UTR1298867122,processed,99900,0,0,2026-07-06,
TXN1122,UTR5971034978,processed,9900,0,0,2026-07-17,
TXN1123,UTR3894673596,processed,199900,0,0,2026-07-25,
TXN1124,UTR6777473414,processed,499900,0,0,2026-07-25,
TXN1125,UTR6172957943,processed,999900,0,0,2026-07-21,
TXN1126,UTR5849815676,processed,29900,0,0,2026-08-14,
TXN1127,UTR2873548915,processed,49900,0,0,2026-07-28,
TXN1128,,failed,0,0,0,,declined_by_bank
TXN1130,UTR8498174646,processed,19900,0,0,2026-08-06,
TXN1131,UTR1634323009,processed,29900,0,0,2026-08-01,
TXN1132,UTR7991986741,processed,96319,3581,0,2026-08-21,fee_deduction_variance
TXN1133,UTR2888766939,processed,999900,0,0,2026-07-22,
TXN1134,UTR2940955281,processed,99900,0,0,2026-07-27,
TXN1135,,pending,,,,,high_volume_queue
TXN1136,UTR5113386226,processed,9900,0,0,2026-07-05,
TXN1137,UTR3619094295,processed,199900,0,0,2026-08-01,
TXN1138,,pending,,,,,processing_delay
TXN1139,,pending,,,,,bank_holiday
TXN1140,,pending,,,,,processing_delay
TXN1141,UTR2554039848,processed,199900,0,0,2026-07-21,
TXN1142,UTR5626388820,processed,29900,0,0,2026-08-11,
TXN1143,,pending,,,,,bank_holiday
TXN1144,,failed,0,0,0,,network_timeout
TXN1145,UTR9523104008,processed,599940,0,0,2026-07-29,partial_settlement_1
TXN1145,UTR7560389844,processed,399960,0,0,2026-07-29,partial_settlement_2
TXN1146,,pending,,,,,high_volume_queue
TXN1147,UTR8864285771,processed,19900,0,0,2026-08-27,
TXN1148,UTR6307626407,processed,999900,0,0,2026-07-05,
TXN1149,,failed,0,0,0,,declined_by_bank
TXN1150,UTR5376588372,processed,999900,0,0,2026-07-15,
TXN1151,UTR6315624319,processed,29900,0,0,2026-07-04,
TXN1152,UTR3469810046,processed,49900,0,0,2026-07-23,
TXN1153,UTR9957643727,processed,99900,0,0,2026-09-01,
TXN1154,,pending,,,,,high_volume_queue
TXN1155,,pending,,,,,bank_holiday
TXN1156,UTR4485356009,processed,119940,0,0,2026-07-10,partial_settlement_1
TXN1156,UTR9860949331,processed,79960,0,0,2026-07-10,partial_settlement_2
TXN1157,UTR7627266377,processed,99900,0,0,2026-08-31,
TXN1158,,pending,,,,,processing_delay
TXN1159,,failed,0,0,0,,declined_by_bank
TXN1160,UTR6564731230,processed,19900,0,0,2026-07-25,
TXN1161,UTR5071218314,processed,499900,0,0,2026-07-20,
TXN1162,UTR2881937953,processed,499900,0,0,2026-07-31,
TXN1163,UTR9370133343,processed,49900,0,0,2026-08-10,
TXN1164,UTR5125402225,processed,19900,0,0,2026-08-24,
TXN1165,,pending,,,,,high_volume_queue
TXN1167,UTR9123207735,processed,19900,0,0,2026-07-22,
TXN1168,UTR8689593739,processed,17940,0,0,2026-07-31,partial_settlement_1
TXN1168,UTR5407856339,processed,11960,0,0,2026-07-31,partial_settlement_2
TXN1169,,pending,,,,,processing_delay
TXN1170,,pending,,,,,high_volume_queue
TXN1172,UTR9138644862,processed,9900,0,0,2026-07-30,
TXN1173,UTR1662259333,processed,49900,0,0,2026-08-15,
TXN1174,UTR3744446292,processed,199900,0,0,2026-08-30,
TXN1175,UTR3957572769,processed,90352,9548,0,2026-08-03,fee_deduction_variance
TXN1176,,pending,,,,,high_volume_queue
TXN1177,UTR6443749394,processed,29900,0,0,2026-07-31,
TXN1178,,pending,,,,,processing_delay
TXN1180,UTR7800411181,processed,99900,0,0,2026-08-31,
TXN1181,UTR4638577630,processed,99900,0,0,2026-07-25,
TXN1182,UTR2239534867,processed,99900,0,0,2026-07-15,
TXN1183,,pending,,,,,processing_delay
TXN1184,UTR3147818256,processed,199900,0,0,2026-07-04,
TXN1185,UTR7928074841,processed,29900,0,0,2026-07-12,
TXN1186,UTR5366422491,processed,99900,0,0,2026-08-12,
TXN1187,UTR9810503338,processed,19900,0,0,2026-07-27,
TXN1188,UTR5376302686,processed,499900,0,0,2026-07-11,
TXN1189,UTR4031281545,processed,29900,0,0,2026-07-19,
TXN1190,UTR7641192909,processed,199900,0,0,2026-07-31,
TXN1191,UTR9513743139,processed,99900,0,0,2026-08-02,
TXN1192,,pending,,,,,bank_holiday
TXN1193,UTR4067213499,processed,442169,57731,0,2026-07-11,fee_deduction_variance
TXN1194,UTR2027708670,processed,99900,0,0,2026-08-19,
TXN1195,UTR1590416424,processed,49900,0,0,2026-08-29,
TXN1196,UTR4301648719,processed,442036,57864,0,2026-08-03,fee_deduction_variance
TXN1197,UTR4949801453,processed,49900,0,0,2026-07-17,
TXN1198,UTR3588933132,processed,999900,0,0,2026-07-04,
TXN1199,UTR2171826349,processed,999900,0,0,2026-07-31,
TXN1200,UTR4252504650,processed,29900,0,0,2026-07-23,
TXN1201,UTR5216305802,processed,499900,0,0,2026-07-31,
TXN1202,UTR5344083406,processed,49900,0,0,2026-08-17,
TXN1203,UTR3964774623,processed,49900,0,0,2026-07-22,
TXN1204,UTR9941564880,processed,199900,0,0,2026-08-19,
TXN1205,UTR1643611097,processed,199900,0,0,2026-07-05,
TXN1206,,pending,,,,,bank_holiday
TXN1207,UTR6995554056,processed,499900,0,0,2026-07-27,
TXN1208,UTR9305502799,processed,49900,0,0,2026-08-28,
TXN1209,,pending,,,,,processing_delay
TXN1210,UTR7602474923,processed,499900,0,0,2026-07-20,
TXN1211,UTR7579604766,processed,49900,0,0,2026-07-16,
TXN1212,UTR1067198189,processed,999900,0,0,2026-08-23,
TXN1213,,failed,0,0,0,,network_timeout
TXN1215,UTR6244338653,processed,44221,5679,0,2026-08-12,fee_deduction_variance
TXN1216,,failed,0,0,0,,network_timeout
TXN1217,,failed,0,0,0,,invalid_account
TXN1219,UTR2593765711,processed,499900,0,0,2026-07-28,
TXN1220,,pending,,,,,bank_holiday
TXN1221,UTR5025070544,processed,49900,0,0,2026-08-19,
TXN1222,UTR8625774078,processed,999900,0,0,2026-07-20,
TXN1223,UTR8397709966,processed,199900,0,0,2026-08-16,
TXN1225,UTR6744794855,processed,499900,0,0,2026-08-24,
TXN1226,UTR5111301175,processed,999900,0,0,2026-08-23,
TXN1227,UTR4037270171,processed,19900,0,0,2026-07-15,
TXN1228,,pending,,,,,bank_holiday
TXN1229,UTR1769945233,processed,499900,0,0,2026-08-31,
TXN1230,UTR8709192840,processed,29900,0,0,2026-08-21,
TXN1231,UTR5696548897,processed,499900,0,0,2026-07-27,
TXN1232,UTR5182609867,processed,999900,0,0,2026-07-24,
TXN1233,,pending,,,,,bank_holiday
TXN1234,UTR4989487508,processed,5940,0,0,2026-07-05,partial_settlement_1
TXN1234,UTR2285384455,processed,3960,0,0,2026-07-05,partial_settlement_2
TXN1235,,failed,0,0,0,,declined_by_bank
TXN1236,,pending,,,,,bank_holiday
TXN1237,UTR8132531532,processed,999900,0,0,2026-08-18,
TXN1238,UTR8471762590,processed,99900,0,0,2026-07-18,
TXN1239,UTR1569113257,processed,19900,0,0,2026-09-01,
TXN1240,UTR3380355948,processed,999900,0,0,2026-07-29,
TXN1241,UTR2635231601,processed,199900,0,0,2026-09-01,
TXN1242,UTR6582393412,processed,99900,0,0,2026-08-02,
TXN1243,,pending,,,,,bank_holiday
TXN1244,UTR5879617459,processed,8812,1088,0,2026-08-12,fee_deduction_variance
TXN1245,UTR4358554365,processed,29940,0,0,2026-08-13,partial_settlement_1
TXN1245,UTR6694638039,processed,19960,0,0,2026-08-13,partial_settlement_2
TXN1246,,pending,,,,,high_volume_queue
TXN1247,,failed,0,0,0,,declined_by_bank
TXN1248,UTR7863073642,processed,49900,0,0,2026-07-21,
TXN1249,UTR8149805821,processed,499900,0,0,2026-08-30,
TXN1250,UTR1455028401,processed,9900,0,0,2026-07-23,
TXN1251,,pending,,,,,processing_delay
TXN1252,UTR4135973483,processed,29900,0,0,2026-08-31,
TXN1253,UTR8287542751,processed,199900,0,0,2026-07-13,
TXN1254,UTR5982744929,processed,99900,0,0,2026-07-12,
TXN1255,UTR9715314442,processed,999900,0,0,2026-07-13,
TXN1256,,failed,0,0,0,,network_timeout
TXN1257,UTR5785590330,processed,19900,0,0,2026-08-22,
TXN1258,UTR6319629373,processed,887493,112407,0,2026-08-21,fee_deduction_variance
TXN1259,,pending,,,,,bank_holiday
TXN1260,UTR3660345628,processed,29900,0,0,2026-08-23,
TXN1261,UTR8235717104,processed,999900,0,0,2026-08-21,
TXN1262,UTR5435391625,processed,999900,0,0,2026-08-23,
TXN1263,,failed,0,0,0,,network_timeout
TXN1264,,failed,0,0,0,,invalid_account
TXN1265,UTR4487036345,processed,49900,0,0,2026-07-09,
TXN1266,,pending,,,,,bank_holiday
TXN1267,UTR7754847890,processed,59940,0,0,2026-07-30,partial_settlement_1
TXN1267,UTR4501175349,processed,39960,0,0,2026-07-30,partial_settlement_2
TXN1268,,failed,0,0,0,,declined_by_bank
TXN1269,,pending,,,,,processing_delay
TXN1270,,failed,0,0,0,,invalid_account
TXN1271,,pending,,,,,high_volume_queue
TXN1273,UTR1069927882,processed,999900,0,0,2026-07-07,
TXN1274,UTR9059914313,processed,999900,0,0,2026-08-05,
TXN1275,UTR6300607425,processed,199900,0,0,2026-08-27,
TXN1276,UTR1039887139,processed,19900,0,0,2026-08-20,
TXN1277,UTR1439921366,processed,19900,0,0,2026-07-19,
TXN1279,UTR9245882468,processed,9900,0,0,2026-07-22,
TXN1280,UTR1600566083,processed,965493,34407,0,2026-08-28,fee_deduction_variance
TXN1281,,failed,0,0,0,,network_timeout
TXN1282,UTR6330405542,processed,44725,5175,0,2026-08-15,fee_deduction_variance
TXN1283,UTR7736142481,processed,19900,0,0,2026-07-08,
TXN1284,,pending,,,,,bank_holiday
TXN1285,UTR8309221034,processed,499900,0,0,2026-08-15,
TXN1286,UTR7598745558,processed,29900,0,0,2026-08-27,
TXN1287,UTR2050032570,processed,19900,0,0,2026-07-19,
TXN1288,,pending,,,,,bank_holiday
TXN1289,UTR2597167064,processed,9900,0,0,2026-08-01,
TXN1290,UTR3695232998,processed,88067,11833,0,2026-07-14,fee_deduction_variance
TXN1291,UTR1495354059,processed,199900,0,0,2026-08-01,
TXN1292,UTR4952342924,processed,9900,0,0,2026-07-10,
TXN1293,,pending,,,,,bank_holiday
TXN1294,UTR1770278136,processed,199900,0,0,2026-07-11,
TXN1295,UTR9960957575,processed,499900,0,0,2026-07-08,
TXN1296,UTR9469064524,processed,199900,0,0,2026-08-15,
TXN1297,UTR9379439373,processed,49900,0,0,2026-09-01,
TXN1298,UTR5128258411,processed,299940,0,0,2026-08-27,partial_settlement_1
TXN1298,UTR2201840395,processed,199960,0,0,2026-08-27,partial_settlement_2
TXN1299,,pending,,,,,high_volume_queue
TXN1300,UTR8453283834,processed,9900,0,0,2026-07-22,
TXN1301,UTR7225841764,processed,86181,13719,0,2026-08-28,fee_deduction_variance
TXN1302,UTR1388354759,processed,19900,0,0,2026-08-10,
TXN1303,UTR9800175892,processed,9900,0,0,2026-07-11,
TXN1304,UTR2984460654,processed,29900,0,0,2026-07-03,
TXN1305,UTR9950881177,processed,9900,0,0,2026-07-11,
TXN1306,,pending,,,,,processing_delay
TXN1308,UTR4794276323,processed,499900,0,0,2026-08-11,
TXN1309,,pending,,,,,processing_delay
TXN1310,,pending,,,,,processing_delay
TXN1311,UTR6963052185,processed,999900,0,0,2026-07-14,
TXN1313,UTR4165649201,processed,199900,0,0,2026-08-19,
TXN1314,UTR9711080868,processed,499900,0,0,2026-07-05,
TXN1315,UTR6048977867,processed,17940,0,0,2026-07-04,partial_settlement_1
TXN1315,UTR1163053047,processed,11960,0,0,2026-07-04,partial_settlement_2
TXN1316,UTR9023931339,processed,49900,0,0,2026-07-30,
TXN1317,UTR5125568431,processed,29900,0,0,2026-07-19,
TXN1318,UTR9420979586,processed,499900,0,0,2026-08-27,
TXN1319,UTR8252045593,processed,29900,0,0,2026-07-20,
TXN1320,UTR3131098613,processed,9900,0,0,2026-08-07,
TXN1321,,pending,,,,,processing_delay
TXN1322,UTR5501759051,processed,49900,0,0,2026-07-19,
TXN1323,UTR3951331472,processed,499900,0,0,2026-07-08,
TXN1324,UTR2468055063,processed,19900,0,0,2026-08-14,
TXN1325,,pending,,,,,processing_delay
TXN1326,UTR6504099682,processed,499900,0,0,2026-08-30,
TXN1327,UTR5311355060,processed,9900,0,0,2026-07-28,
TXN1328,UTR5791074361,processed,999900,0,0,2026-08-26,
TXN1329,UTR2586568081,processed,999900,0,0,2026-08-28,
